rank	bigrama	conteo
920	set of	137450
921	for two	137128
922	in response	137030
923	the fact	137024
924	found that	136940
925	his life	136887
926	dedicated to	136715
927	that this	136147
928	to see	136122
929	creation of	135949
930	at his	135915
931	from their	135844
932	focused on	135523
933	his second	135294
934	the remaining	135002
935	he moved	134808
936	has the	134786
937	of one	134609
938	the species	134605
939	support of	134575
940	on her	134063
941	said to	134039
942	center of	133962
943	the black	133932
944	the netherlands	133867
945	the law	133831
946	of four	133782
947	album was	133722
948	carried out	133675
949	in england	133656
950	in front	133570
951	section of	133444
952	the years	133431
953	the fifth	133380
954	building was	133369
955	out to	133262
956	to keep	133154
957	of age	133059
958	start of	133047
959	created by	133011
960	portion of	133006
961	gave the	132890
962	is based	132665
963	refers to	132474
964	is often	132443
965	behind the	132300
966	the player	132291
967	he began	132252
968	types of	132207
969	release of	132206
970	best known	132137
971	the system	131996
972	bishop of	131968
973	of several	131930
974	was promoted	131772
975	in japan	131592
976	the production	131571
977	they would	131496
978	human rights	131244
979	divided into	131232
980	the track	131101
981	consisting of	130694
982	for all	130653
983	completed in	130600
984	the italian	130593
985	and others	130455
986	areas of	130323
987	in india	130170
988	the chinese	130119
989	to new	130084
990	reached the	129969
991	th and	129930
992	he took	129766
993	leader of	129529
994	the position	129418
995	inspired by	129409
996	regular season	129366
997	top of	128955
998	the future	128921
999	to leave	128884
1000	be found	128882
